[Header]	
System	TOCV-TNM	
S/W Version	1.00	
Date/Time	9/4/2025 2:44:16 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	TOC	090325_57		67.67	136.9	69.25				mg/L	60	9/4/2025 5:53:28 AM	
Unknown	TOC	090325_58		110.2	200.5	90.21				mg/L	61	9/4/2025 6:09:19 AM	
Unknown	TOC	090325_59		12.81	26.04	13.22				mg/L	62	9/4/2025 6:23:28 AM	
Unknown	TOC	090325_60		63.17	142.8	79.61				mg/L	63	9/4/2025 6:41:27 AM	
Unknown	TOC	090325_61		15.91	79.55	63.64				mg/L	64	9/4/2025 6:57:15 AM	
Unknown	TOC	090325_62		34.39	113.8	79.42				mg/L	65	9/4/2025 7:13:20 AM	
Unknown	TOC	090325_63		50.47	126.1	75.63				mg/L	66	9/4/2025 7:29:44 AM	
Unknown	TOC	090325_64		40.24	102.8	62.61				mg/L	67	9/4/2025 7:45:40 AM	
Unknown	TOC	090325_65		21.71	81.73	60.03				mg/L	68	9/4/2025 8:01:13 AM	
Unknown	TOC	090325_66		40.36	123.2	82.89				mg/L	69	9/4/2025 8:17:18 AM	
Unknown	TOC	090325_67		64.09	141.4	77.31				mg/L	70	9/4/2025 8:33:36 AM	
Unknown	TOC	090325_68		23.18	78.49	55.31				mg/L	71	9/4/2025 8:48:39 AM	
Unknown	TOC	090325_69		31.76	75.95	44.19				mg/L	72	9/4/2025 9:03:32 AM	
Unknown	TOC	090325_70		67.23	140.3	73.12				mg/L	73	9/4/2025 9:23:37 AM	
Unknown	TOC	090325_71		0.6756	17.66	16.98				mg/L	74	9/4/2025 9:41:17 AM	
Unknown	TOC	090325_72		1.839	20.59	18.75				mg/L	75	9/4/2025 9:55:44 AM	
