[Header]	
System	TOCV-TNM	
S/W Version	1.00	
Date/Time	10/6/2025 9:21:07 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	TOC	10022025_ZZLB433		48.27	94.70	46.43				mg/L	55	10/3/2025 6:41:03 AM	
Unknown	TOC	10022025_ZZLB434		109.3	165.5	56.23				mg/L	56	10/3/2025 6:56:12 AM	
Unknown	TOC	10022025_ZZLB435		145.4	244.0	98.62				mg/L	57	10/3/2025 7:11:49 AM	
Unknown	TOC	10022025_ZZLB436		44.27	77.70	33.43				mg/L	58	10/3/2025 7:26:18 AM	
Unknown	TOC	10022025_ZZLB437		81.46	165.7	84.22				mg/L	59	10/3/2025 7:41:20 AM	
Unknown	TOC	10022025_ZZLB438		20.33	85.23	64.90				mg/L	60	10/3/2025 7:56:06 AM	
Unknown	TOC	10022025_ZZLB439		35.86	89.96	54.10				mg/L	61	10/3/2025 8:10:55 AM	
Unknown	TOC	10022025_ZZLB440		61.05	108.3	47.26				mg/L	62	10/3/2025 8:29:13 AM	
Unknown	TOC	10022025_ZZLB441		50.76	100.7	49.95				mg/L	63	10/3/2025 8:45:03 AM	
Unknown	TOC	10022025_ZZLB442		17.92	63.24	45.32				mg/L	64	10/3/2025 9:00:28 AM	
Unknown	TOC	10022025_ZZLB443		42.84	106.5	63.61				mg/L	65	10/3/2025 9:16:23 AM	
Unknown	TOC	10022025_ZZLB444		86.30	151.7	65.41				mg/L	66	10/3/2025 9:32:25 AM	
Unknown	TOC	10022025_ZZLB445		23.69	73.96	50.27				mg/L	67	10/3/2025 9:47:37 AM	
Unknown	TOC	10022025_ZZLB446		40.74	76.42	35.68				mg/L	68	10/3/2025 10:02:28 AM	
Unknown	TOC	10022025_ZZLB447		73.93	137.6	63.66				mg/L	69	10/3/2025 10:18:19 AM	
Unknown	TOC	10022025_ZZLB448		1.338	24.57	23.24				mg/L	70	10/3/2025 10:32:56 AM	
Unknown	TOC	10022025_ZZLB449		1.775	25.66	23.88				mg/L	71	10/3/2025 10:47:20 AM	
